QID,Brand,Model,Question,Dialogue,Report,,,,,,,
Q5913,大众,朗逸,您好  我的车是13款大众朗逸  刚提车没几天发现启动后 怠速有点高 还有就是启动后机器颤抖 加油起步后好像有点供油不足现象起步有些肉    请问大师以上情况是怎么回事啊  新车。。。,技师说：您好，怠速是多少？启动机器抖是正常的|车主说：怠速不知道多高   没注意  听声音感觉挺高的|车主说：机器抖动 属于正常吗？|技师说：怠速不能听声音的，一般怠速800左右就可以，1.6的发动机比较肉，启动时抖动是正常的|车主说：行驶过程中机器还会 抖动吗|车主说：怠速是转速吗   看哪里|技师说：行驶不会抖动，除非是手动挡离合控制的不好|车主说：[视频]|技师说：正常|车主说：机器抖动  在车子里面都能感觉到。|技师说：新车抖动一般不会出现，最好还是找个4S店看一下|车主说：哦   哪像这个情况属于哪里的故障呢   谢谢|技师说：如果是抖动一般故障灯会亮，仪表显示正常一般没问题|车主说：哦  好的  谢谢还用去4S店检查吗|技师说：如果不放心可以去4S店检查一下|车主说：车辆行驶 挂D档  还是S档省油呢   第一次开自动挡  没什么经验   跑高速呢   谢谢|技师说：D档省油|车主说：D档往右  有个N+  S— 这是什么意思呢  谢谢|技师说：是手动模式|车主说：哦  哪个比较省油   直接挂S档是上坡时用的吗|技师说：D档省油，S档是运动模式，运动风格|车主说：手动模式  可以直接导入自动模式吗  对机器没有损坏吧|技师说：可以的|车主说：哦哦   谢谢麻烦您了  需要注意什么吗|技师说：没太多需要注意的，正常开就可以|车主说：嗯嗯   停车等红灯 档位应该是N档吗|技师说：对的,您好，怠速800一套左右属于正常,,,,,,,
Q37919,雪铁龙,爱丽舍,08年爱丽舍灯光控制抖那有卖的，,技师说：什么意思|车主说：咋晚、我车停在小区喇叭突然长叫，怀疑是灯光控制器坏了，请老师分柝下|技师说：这是应该不是它问题，我要查下电路图|车主说：是否要换控制器呢|技师说：先检查下保险盒，如果保险盒没问题就是控制器导致，|车主说：这控制器能买得到吗？|技师说：买得到|车主说：多少钱呢?|技师说：外面1000左右|车主说：哦!那里有买的呢？|技师说：汽配城，网上都有|车主说：具体叫什么配件呢|技师说：com2000|车主说：好的，谢谢，|技师说：不客气,淘宝有卖。,,,,,,,
Q76638,大众,迈腾,图片这些问题，怎么解决,技师说：你好，从故障码上看有地方漏气，废气阀碳罐电磁阀先检查一下，混合气稀就多缸失火，还有进气管本身有问题，内部翻板发卡|车主说：现在车很费油，和这个有关系吗？|车主说：凉车时候，刚启动后，机器发抖，跟缺缸似的。车热后没有这个情况，请问怎么回事啊|技师说：就是漏气影响的|车主说：解决漏气，就可以了吧|技师说：对的|车主说：还有个问题。暖风不热，清洗水箱不管用|技师说：这个得看空调数据才行，水箱没有问题就是空调温度控制上的问题|车主说：有时感觉吹的风，有防冻液味儿|技师说：那有可能暖风水箱有地方漏了|车主说：夏天时候，出现过故障，防冻液进油了，但是修好了|技师说：和这个没有相互关系的|车主说：空调温度控制？|技师说：风道温度传感器要影响这个还有温度调整电机有问题也会|车主说：谢谢，我试试。这些问题好维修吗|技师说：好维修的,先处理漏气故障，废气阀碳罐电磁阀检查一下,,,,,,,
Q34859,宝马,宝马5系,我的车是07款宝马E60  530Li开着开着车突突，然后很多故障码就出来了，把车停到一边挂上P挡，在挂档就挂不了了，熄火后从新打火后就一切正常了，这是哪的毛病？,技师说：首先，偶发性故障，无法靠现象确认故障点。建议你找解码器先读一下故障码，看一下当时亮灯的原因是什么。,电脑诊断看一下故障码。,,,,,,,
Q40568,丰田,RAV4荣放,请问大师，我2016丰田RAV4四驱精英，开了半年后出现方向盘左轻右重，左回中无力，遇颠簸方向盘自动偏左导致跑偏，做了四轮定位无效果，请问大师这车究竟是哪里出问题了？,技师说：之前是哪里做定位，建议定位前检查轮胎左右花纹磨损是否厚度一样，左右轮胎也会影响，检查悬挂臂杆是否有剐蹭变形等，到4s店检查并重新定位试车。|技师说：请问还有什么疑问吗，准备到休息时间，或留言一早为你解答|车主说：胎压、轮胎花纹、悬挂臂杆等都没有问题，只有主销内倾角度数有点嫌疑，测出左5度，右10度，说明书上说11度，但是师傅说更大可能是方向机里的什么，所以我想弄清楚问题再去找4s索赔。|技师说：放心吧，如果有问题4s也是非常乐意为你处理了，因为更换部件他们也有赚钱的。|技师说：所以检查到4s再次检查确认，也不用在外面浪费钱。|车主说：主要是之前到4s说得清清楚楚，结果师傅说没问题正常的，我一下子就不晓得咋整了，所以越想越气才找外面的修车厂检查，结果人家一开就说确实有点问题。|技师说：再去检查，对比同款车辆，存在问题，可以投诉。,根据您已经做了四轮定位，并检查悬挂各部件没有问题，建议到店对比同款车辆试车确认，或先用车留意车辆行驶状态。,,,,,,,
Q31220,日产,轩逸,氧传感器故障费油嘛？,技师说：您好，氧传感器有故障，这个会导致油耗增高的。一般都是跟汽油质量差有关，导致氧传感器中毒损坏需要及时更换。,氧传感器有故障，会直接导致油耗升高。损坏需要及时更换。,,,,,,,
Q59812,福特,福克斯两厢,我的车是2013款经典福克斯，1.8L自然吸气发动机，用嘉实多和壳牌机油哪个好？如果用，用哪一款型号合适？谢谢你们,技师说：这个用嘉实多，那个全合成的5w30的机油比较好，这个机油粘度小，发动机运转阻力小，提速快，油耗也比较低。这个最好在授权店更换比较好，能保证机油是正品。,用嘉实多5w30的机油就可以这个品牌现在是好多车型的配套产品，质量还可以。这个级别的机油粘度比较小，发动机运转阻力小，提速快，而且省油。,,,,,,,
Q66333,斯柯达,明锐,1.6L明锐加汽油是92还是95,技师说：你好，用92就行了，只是95积碳少，动力好，,用92就足够了，只是95动力好，积碳少，你用92一万公里用一次燃油添加剂清洗,,,,,,,
Q8554,奥迪,奥迪Q7,新Q7空调不制冷 吹自然风 油门猛踩才有冷风也不是很冷,技师说：这种情况检查一下冷媒压力是否足够，在检查一下空调压缩机是否工作正常|车主说：去年去4s店检查过了他说压缩机正常 升级系统好一段时间又不行了|技师说：那您去店里检查一下冷媒压力是否正常|技师说：再检查内部的氟油是否缺少，导致冷媒不能正常循环|车主说：反正现在时好时坏|技师说：再检查一下冷媒管的压力阀是否正常,这种情况检查冷媒的压力是否正常，然后查一下空调压缩机电磁阀是否有故障，去您当地的修理厂就可以解决！,,,,,,,
Q15917,宝马,宝马X1(进口),原車17吋想改20吋,技师说：轮毂可以改成20寸，请问用哪种品牌子|车主说：富城鋁業 前9J后10J  輪胎前245/35/20 后275/30/20|技师说：不好意思，刚才忙去了，这个品牌质量可以的，比较坚固耐用的，还比较轻。轮胎选择尺寸前后规格相当好稳定，抓地力好。|车主说：呵呵!我就只是上來摸摸底的而已,沒事的!|技师说：??????,可以改装。,,,,,,
Q21484,别克,英朗,别克英朗17款自动进取型，有积水的地方，汽车过去前面刮了一声后年也挂了一声，正中间过去。碰到了底盘。请问是哪个位置？对车有什么影响？【车型：英朗】,技师说：你好，刮到前轮下摆臂，后桥，底盘零部件损伤，行驶中方向盘正吗?|车主说：行驶正常。响了两声|技师说：那应该没有问题|车主说：一般是伤到哪里？车的正中间|车主说：响声|技师说：前后摆臂，油底壳|车主说：对车有什么影响吗？|技师说：[语音]|车主说：听不到|技师说：行驶正常说明方向没有问题，不跑偏。检查停车位置有没有漏油。有油迹，说明油底壳刮伤。机油漏的多影响发动机。,没有大的影响，底盘有刮伤，稳驾慢行，注意安全,,,,,,,
Q4501,奥迪,奥迪Q5,Q5 2.0T正时怎么对。12款CAD发动机,技师说：[图片]|技师说：有问题明天联系|车主说：凸轮轴对那里呢|技师说：[图片]|技师说：有问题可以点击头像进行电话咨询|车主说：滚|车主说：一点都不专业|技师说：你妹的。|技师说：你眼瞎啊|技师说：像你这种既不懂技术，又没有态度。。。|车主说：你这种人在平台浪费了位置|技师说：你这种人来这里丢人|技师说：好心帮你，不知道满足|技师说：即使哪里发错了，或者没有帮到你，你可以说。骂人，不是真本事。,已经提供图片,,,,,,,
Q38657,大众,迈腾,您好迈腾提示立即车况检查是什么意思？ ,技师说：你好。这个是一种提示，提醒你保养那种，就是把机油，刹车油，防冻液检查一下，没问题用解码器清除就行了|车主说：自己能消除吗？|技师说：清除不了,和保养提示灯一样，把机油。防冻液，刹车油，胎压检查一下。没问题用解码器复位就行了,,,,,,,
Q71957,广汽传祺,传祺GS5,1800转左右工作台中位嗡嗡响2000转以上就没有了。空挡加油就没有怎么回事儿,技师说：这种情况通常是仪表台里面的某个部件卡子有松动的现象，|技师说：你可以这样试一下，在响的时候按住你怀疑响的位置，看看还会不会响，这样来判断哪个位置的声音，再拆开来检查|车主说：可能在里面。。冬天早晨不开暖风刚开得时候没有。开暖风就刚开始声音小后面就声音就大了|技师说：如果你把暖风关闭呢？还有没有声音？|车主说：声音出来以后。关了也有|车主说：现在怎么找响的位置|技师说：如果是里面在响的话，按照我说的方法是不起作用的。我建议你首先确定具体位置，看一下确实是里面在响还是外面在响，如果确实是里面的话，那就只有拆仪表台检查。,你好，这种情况我建议你按照我说的方法先测试一下，如果不行的话，就只有拆仪表台检查。,,,,,,,
Q38866,大众,帕萨特,我的车冷天打开空调AC，发动机舱会有异响声音还有点大，是皮带旁边出来的，是什么问题，在线等。谢谢,技师说：你好，这个需要检查一下空调的皮带。|车主说：压缩机会不会有问题？|车主说：制冷没有问题，就是响|技师说：这个是有关系的，可以检查试听一下。看一下轴承有没有问题？|车主说：冷车打开空调不会响，等有热风出来过一下就响了，哎不知道是什么问题|技师说：这个需要检查一下，是不是嗡嗡的声音。|技师说：一半与轴承关系比较大。|车主说：是了翁翁声音，是压缩机轴承吗？|技师说：这个要么是压缩机的轴承或者是发电机的轴承。一般的情况下，发电机皮带轮的关系比较大。|车主说：好的，谢谢|技师说：客气了|车主说：明天去检查一下|技师说：好的,这个情况一般是发电机皮带轮张紧器的问题。,,,,,,,
Q71890,北汽绅宝,绅宝D70,汽车放电800+mA 用万用表量的 怎么回事,技师说：你好！0.8A放电量不大啊！|技师说：不像有漏电哟|车主说：这车原车电瓶多少安的啊|车主说：这车现在换的这个电瓶54安的  按0.8算 两天都没电了|技师说：这个不知道呢|车主说：？|技师说：一般正常情况的话暗电流在小于0.5A，当然有些车是小于1A为正常，你先排除漏电的可能性，然后还是可能是电瓶的问题,一般大多数车的暗电流小于0.5A，排除漏电的可能，还是电瓶的问题，,,,,,,,
Q13644,别克,昂科威,你好。汽车可以一万公里去保养吗，,技师说：你好，用的全合成机油可以，但是最好是8000公里左右保养一次比较好，保护发动机|车主说：我是刚昨晚4S店的免费保养|车主说：现在跑了七千多公里了。|技师说：这个有保养提示灯，提示灯亮了，去保养就可以，全合成机油8000公里保养最好|车主说：想一万㎞去保养可以嘛。|技师说：也可以，没问题|车主说：不影响什麽吧。|技师说：不影响|车主说：保养指示灯在哪里啊。|技师说：仪表提醒你保养的|车主说：去4S店跟去外面保养有什么区别嘛。|技师说：按时保养，用全合成机油，这个没区别，就是外面保养不质保|车主说：不质保什麽意思呢。|技师说：外面保养，发动机有问题，不会给你维修，|车主说：额额。,这个可以的，没问题的，全合成机油一年或者一万公里更换,,,,,,,
Q77996,大众,桑塔纳经典,老桑塔纳曲轴齿圈咋安装的，有图吗,技师说：有的稍等一下，我发给你。|技师说：[图片]|技师说：就是这个位置。|车主说：这是一缸上支点吗|技师说：是的，一缸位于压缩上止点，这个信号齿轮位置，就这样装。|车主说：好的，谢谢|技师说：不客气了,标准的安装图片我已经发给你了，按照图片装就没问题的。,,,,,,,
Q72398,大众,速腾,12年大众速腾喷水电机不喷水是怎么回事？ ,技师说：您好，喷水电机突然不喷水需要看一下玻璃水壶中有没有上冻结冰了。如果没有。那么就要去修理厂检查，拔下喷水电机插头测量在开喷水的时候有没有电。有电就是电机坏了。没有电就要检查保险丝。|车主说：没有电 保险没有坏的|技师说：如果是这样的话有可能开关有问题了。|车主说：开关没事  换新的了|技师说：继电器有没有检查过。|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：上面是刚才找到的电路图。这个电路图不全。需要找全了才好查。保险好的。开关没问题。插头没电。只能找电路图查电路。|技师说：我找找看有没有全的电路图。|车主说：哦哦|技师说：保险丝您查的是30a的吗？|技师说：编号f20|车主说：不是|技师说：机舱没左侧|技师说：查一下|车主说：在驾驶舱里面吗？|技师说：发动机机舱|车主说：哦哦|技师说：[图片]|技师说：这两个继电器也检查一下|车主说：这俩是干啥用的|技师说：[图片]|技师说：保险丝和继电器|车主说：没事|技师说：都没事插头没电就是那边线可能断了。|车主说：哦哦|车主说：谢谢姐姐|技师说：不用谢，|技师说：您自己查找一下那边线断路了。|车主说：恩|车主说：姐   留个微信吧|技师说：不好意思。平台禁止的，违规的。请谅解。|车主说：好吧|技师说：这类故障。插头没电。保险没问题。以后记住了只要找到电路图资料才好查。|技师说：把继电器和保险都查了没问题那么开关也没问题。就找断线。,喷水插头没有电。检查保险丝和继电器都是好的。开关也换过没问题。那么问题可能是线路。有断线的地方。重点检查线路。,,,,,,,
Q39797,日产,轩逸,轩逸无法启动。电瓶有电，仪表盘亮，无法关闭！,技师说：你好！遥控钥匙正常吗，爱车是停放了几天没开，还是上午刚开过|技师说：拍个仪表盘照片,建议把电瓶负极断开等待一会启动再试下,,,,,,,
Q7216,路虎,揽胜,机油加多了会有什么后果?会损害发动机和变速箱连接油封，导致渗油吗?,技师说：你好，动力下降，损坏催化系统，还有压力大了。容易损坏曲轴油封，造成漏油，机油加多了需要放一些|车主说：路虎揽胜行政版的机油仪表显示还有两个空格就满了，这样的机油量正常吗？|技师说：不正常的，正常的是没有空格|车主说：正常的机油是满格的吗？我的车是仪表显示机油量，|技师说：不是满格的？|车主说：没有油尺直观|技师说：电子显示的|车主说：还有两个空格|技师说：这个就不是满的。|车主说：在仪表上显示也就是八成|技师说：这个不多，没问题|车主说：这样是不是正常的量|技师说：正常的|车主说：谢谢您|车主说：还有一点，如果更换发动机与变速箱的油封，需要抬发动机吗|技师说：要抬，曲轴后油封要抬|车主说：知道了，谢谢,动力不好。还容易损坏油封。机油多了最好是放一些,,,,,,,
Q16446,北京,北京(BJ)20,你好，我的车是北汽的bj20！二月份买的，才跑七千多公里，现在是正好熄火后无法打着！因为距4s店较远，昨天找当地一修车师傅查了一下，没找到问题，钻到车底拍了几下油箱，就打着了，但是现在又打不着了！,技师说：你这种情况是油泵问题，可以说是接触不良或者说由于长期由油箱没什么油继续行驶情况烧了油泵，建议拆检油泵。|车主说：有油啊，还很多油呢！也是正常熄火后打不着的|车主说：油泵怎么检测呢？|技师说：油泵检测油压，内部电阻是否在标准范围|车主说：换泵心可以解决问题吗|技师说：可以,更换油泵,,,,,,,
Q16841,大众,迈腾,为什么09款迈腾打着火风扇就低俗转，且空调开不起，上下水管水温38和58，发动机正常，哪里出了问题呢？谢谢,技师说：空调打开了没有冷风是这个意思码|车主说：不是这个意思！电子风扇的控制单元在哪呢？|技师说：就是电子风扇|车主说：空调控制面板做动作测试没有反应|车主说：换了2水温传感器，，水泵换了1个，电子扇换了，还是没有解决问题|技师说：节温器换了没有,你好，根据描述情况分析，首先排除上下水管的温差，一般是节温器失效的原因很高兴为你解答,,,,,,,
Q26794,海马,福美来,师傅好！最近有个问题，车子有时候好开，有时候不好开；好开的时候，感觉车子很扎实，噪音小，动力足且均匀，不好开的时候，感觉车子很松弛，噪音大，动力肉，深踩油门也肉！以前不这样，换了机油才有的这个问题，我测试了好几次，和驾驶喜欢没关系，不知道哪次就顺畅了！,技师说：你好，这个车子动力性差些|技师说：车子车速60下，提速肉，噪声大些。车子都是这样的。|车主说：比较适中吧！以前开的时候虽然动力不是那么给力，但是很顺畅，发动机声音也好听，起步的声音都很顺畅，现在有时候不好，有时候又很好！|车主说：好的时候声音好听，不好的时候声音很杂，以前4s店是用半合成的，现在我朋友开个修理店，给我换的嘉实多5w40的，加完那天就感觉不好，但他说没事开开就好了，现在总是出现这个情况|车主说：以前是5w30    换成了全合成5w40|技师说：建议用海马专用的半合成机油。建议清洗节气门，油嘴，更换火花塞。|车主说：我也考虑过可能是机油型号不相符，才换了不久，也没这么保养过，得几个钱大概|技师说：三百五左右的|技师说：具体价格有地区差异的。|车主说：是不是平时一般市区开，速度最高也就60以内，经常走走停停的，出去跑个长途会好很多|车主说：火花塞用换吗，现在启动车还是很痛快的|车主说：我自己体验了一下，高速跑一圈回来，再启动车，市区行驶就好开|技师说：火花塞两万更换的|车主说：哦！我的车这个公里数该做这些保养了吧|技师说：需要做了??|车主说：我做个保养看看，机油刚加不久，不用换吧|技师说：刚换的，不用的。|车主说：还有个问题，早上启车直行没事，打方向盘听见咯噔一声，开一会，再停车，再启动车，打方向盘就没有了！4s店没查出来|车主说：？？？？|技师说：听听是减震器压力轴承响吗，那测有异响。|技师说：或者紧固底盘螺母，两侧的。|车主说：我去4S让师傅给好好看看吧！谢谢|技师说：不客气,车子加速无力问题，有些车子发动机排量小，车子底盘重，低速提速性差些。这是车型特点。不用处理。转向异响，检查减震器压力轴承。,,,,,,,
Q72356,比亚迪,速锐,比亚迪速锐1.5L的助力泵皮带什么型号？另外要怎么更换？我自己看了看没找到地方.还有汽油滤芯都通用吗？具体什么型号,技师说：你好！只要把你车的铭牌给供货商，他直接就能给你车的配件|车主说：我想自己淘|技师说：淘宝上也是一样的，你直接把你车的型号给客服，他会给你说选哪个|车主说：助力泵皮带怎么更换呢？|技师说：[图片]|技师说：你看看皮带是不是这样的？|车主说：不是|技师说：哪一年的车|车主说：12年，速锐，自然吸气|技师说：[图片]|车主说：助力泵皮带是单独一根，|技师说：一般都是一个张紧轮，或者助力泵自张紧的，把螺丝松了，就能取下皮带，然后换上皮带，在装紧螺丝就可以了|车主说：我就是没找到助力泵的螺丝。。。。。|车主说：有没有图片？最好是图片|技师说：我没有找到图片|车主说：好吧，谢谢你|技师说：实在抱歉，资料里没有这个图|车主说：没事，谢谢|技师说：不客气，维修保养可以直接咨询，能帮到的一定帮,发铭牌给供货商，他会给你配套件,,,,,,,
Q50015,大众,捷达,17款捷达能把隐藏功能刷出来吗？对车有危害吗？,技师说：你好可以的，用5053系统就可以，|技师说：没有危害的,你好，这是完全可以的，用5053就能够实现的，对汽车没有任何伤害。,,,,,,,
Q16034,雪佛兰,迈锐宝,怠速发动机有点抖感觉要熄火了，加速没力，低速加速发动机噪音很大，是什么原因,技师说：你好，发动机积碳节气门多久没有保养了，还有就是三元催化器有可能堵|车主说：发动机节气门才洗过没多久|技师说：那检查一下三元催化器|车主说：是不是修理厂都可以清洗|车主说：低速加速得时候发动机噪音很大，也是这个原因么|技师说：是的，|技师说：机油多久换的|车主说：机油才换的极护|车主说：发动机积碳清理是不是就是打吊瓶？|技师说：应该和加速无力有关系，|技师说：最好拆清洗，三元催化器可以打吊瓶|车主说：拆了哪里|技师说：喷油嘴，进去道|车主说：那三元催化要不要拆下来清洗？|技师说：不需要，拆下来就只能更换了|车主说：哦哦好的|车主说：那谢谢你了，|技师说：客气了不用谢,你好，根据描述情况分析建议清洗或更换下三元催化器，很高兴为你解答！,,,,,,,
Q80569,本田,飞度,前轮只换了一个避震顶胶，就拆了一个避震，这样需要做四轮定位吗？,技师说：亲，如果这样的话，是不需要进行四轮定位的，不影响，大可放心行驶。|车主说：如果拆两个避震就要做四轮定位是吗？|技师说：拆装避震是不需要进行定位的，更换避震，下支臂，方向拉杆等需要定位。|车主说：如果是换顶胶也不用是吧|技师说：对|车主说：好的  谢谢您|技师说：用车愉快,换减震器不用进行四轮定位,,,,,,,
