,QID,Prediction
104,Q105,建议您用电脑读取一下故障码，如果没有故障码，更换一下变速箱油试试。
105,Q106,撒点水，试试，不响就说明雨刷老化造成的，更换新的雨刷就好了，检查连接部位发生的干涉。
106,Q107,更换刮水器70-150，70左右。
107,Q108,您好，液压转向泵在上端查询
108,Q109,清洗节气门，火花塞，检查汽油压力够不够，还有发动机机脚
109,Q110,更换新的发电机，如果有外壳配件也可以更换外壳
110,Q111,需要拆卸前杠的。
111,Q112,更换刹车片的话必须连同感应线一起更换，不能复位
112,Q113,需要检查控制器和控制器。
113,Q114,建议检查冷却系统有没有故障码，如果没有问题就是风扇继电器问题，建议检查温控开关和风扇继电器
114,Q115,您好，需要更换空气滤芯，机油滤芯，机油滤芯，机油滤芯，空调滤芯，火花塞，汽油滤芯
115,Q116,皮带松了造成的，建议你去维修店让师傅看看
116,Q117,检查车窗保险是否有问题
117,Q118,这个是要的，而且价格也比较贵一点
118,Q119,信息娱乐系统-5f-功能1开启，0是关闭不了。
119,Q120,报警灯。刹车片需要更换，或者更换刹车油。
120,Q121,你好，需要进行清洗，清洗完后需要进行匹配的。
121,Q122,您好，可以过得得得得得改装
122,Q123,你好，根据你说的这种情况可能是出厂时打胶粘上去导致的！建议你去修理厂检查下！
123,Q124,你好，通过你说的这种情况检查下节气门积碳，喷油嘴积碳必要时做大保养，包括机油三滤，变速箱油，刹车油，刹车油，刹车油等！
124,Q125,你好，这个是直接对链条的，聊天上有几号，对上就可以了！
125,Q126,详见图片
126,Q127,你好，这样的情况应该是发动机工作不好。造成发动机抖动的情况。你这车行驶了13万公里。建议你先去检查一下油路积炭和火花塞。不知道你这辆车在路上行驶，还是在路上行驶进行驶进行驶进行驶进行驶出现抖动，维修。你需要详细检
127,Q128,检查转向柱模块是否损坏，检查转向柱模块是否损坏，
128,Q129,检查一下线路
129,Q130,你好，根据描述情况分析建议用解仪器调取下发动机的故障码，一般是打铁不良导致的，很高兴为你解答
130,Q131,你好，这是锁块的问题，需要更换锁块。
131,Q132,你好，通过你说的这种情况，是新更换机油粘度比较大引起的  建议车辆行驶一段时间 然后再观察一下 
132,Q133,你好 一般车型是缸内直喷发动机   喷油嘴工作的声音是正常的     不用担心
133,Q134,建议到维修厂或者是4S店重新帮你复位一下就可以了
134,Q135,根据你的描述，你这个问题是发动机内部干扰导致的，需要重点检查外部芯包括是否存在脱落现象，可以正常行驶。排除外部皮带异响的原因，考虑是否是外部皮带脱落导致。
135,Q136,这种情况可能就是玻璃升降机有问题 或者是线路有故障引起的 建议到4S店去检查一下 如果没有问题的话 4S店也会帮你保修解决
136,Q137,你好 这是变速箱内部换挡机构发出来的声音 建议到4S店做一下变速箱软件升级就可以了
137,Q138,这款车没有半合成的机油，可以使用
138,Q139,这种情况对车辆没有任何影响的，只要不是在正常使用。这个就没有任何影响的。
139,Q140,这是车门开度不能拿出来 需要重新启动 不能拿出来 
140,Q141,熄火以后有水滴声是因为发动机内部水温过高所以会造成发动机内部水温增加                                                                 你这种情况是因
141,Q142,你好，大众原厂全合成机油确实可以行驶一万公里在更换 当时考虑到国内路况 最好是八千公里更换一次，下次更换机油的时候你可以选择嘉实多或者是美孚全合成机油
142,Q143,你好，全合成油的话，价格是在5000公里保养一次的，建议超过4000公里保养一次。
143,Q144,你好，根据你说的，这两款车，凌渡280属于高功率发动机，而速腾和低功率版发动机！ 而然后选择凌渡280型号的！
144,Q145,可以把喇叭装前面喇叭装前面试试
145,Q146,检查空滤，空调滤，空调滤，火花塞，汽滤。
146,Q147,该车型使用极护机油就可以了，希望能帮到你。
147,Q148,大概需要900左右，修理店900左右。
148,Q149,车载吸尘器效果还是不错的   可以有效清理缝隙里面的灰尘
149,Q150,不同的防冻液的成分不同，有必要更换的。
150,Q151,你好，用电脑复位就可以了
151,Q152,轮胎使用平衡导致的，做个轮胎动平衡就可以了。
152,Q153,缺冷媒
153,Q154,你好，建议先处理漏气部位，清洗喷油嘴，检查火花塞
154,Q155,可以单独更换
155,Q156,修理店就可以修复了
156,Q157,检查线路，摄像头
157,Q158,到钣金店500块钱左右
158,Q159,顶棚灯上有旋转翘起，下拉:闭合;旋转;转;:旋转;旋转;转位置，旋转;转;:旋转;旋转;旋转位置，旋转;转;旋转位置，:天窗打开/关闭/关闭，就是按旋转钮 关闭后在后在后在自停止.
159,Q160,用抹布擦能擦掉吗？
160,Q161,检查是否轴承响，后桥差速器响声，后桥差速器响建议拆下来调整一下
161,Q162,建议您更换变速箱油再试试，轻微的顿戳感是没有问题的，如果比较大建议换个油看看
162,Q163,你好，这种情况就是电子产品的问题，需要重点检查一下控制单元。
163,Q164,鼓包是没有影响的 放心使用 
164,Q165,车辆喇叭触点虚接，或者是喇叭本身有问题导致的，这个需要检查一下喇叭是否有问题，具体的需要检查更换
165,Q166,详见图片
166,Q167,检查火花塞，点火线圈，喷油嘴，还有排气管有没有漏水的
167,Q168,你好，这个应该是有专用的外接电源使用，这个是可以进行专用的外接电。
168,Q169,这个建议更换一个轮胎更换一下就可以了，不需要更换。
169,Q170,下载AVI格式，MP4，3G，格式视频播放，详细信息可以参考多媒体使用手册。
170,Q171,变速箱有故障，车辆没有停稳，直接挂P挡或者倒挡，对变速箱损害非常大，建议去4S店咨询一下
171,Q172,启动马达坏了一部分
172,Q173,这种情况需要检查一下是不是插口接触不良导致的故障现象。
173,Q174,先保养完车子然后用解码仪复位，这样不能手动复位。
174,Q175,磨合一段时间就好了
175,Q176,建议您更换发动机机油。
176,Q177,建议您检查一下氧传感器的电压，进气温度，进气温度，氧传感器，进气压力传感器
177,Q178,你好，您可以去4s店，让他们分析一下，有可能是汽油泵压力过低引起的，检查一下火花塞间隙是否正常，节气门体是否有间隙，汽油滤芯是否有堵塞现象。
178,Q179,一般都是轮胎或者轮胎原因
179,Q180,ouside，生产日期是轮胎内外边的，生产日期，生产日期的就是看轮胎的肩标示。轮胎内外边的标示。 轮胎内外边的标示都是不同的，如果还是不能调换的话，就是看到轮胎的磨损程度。
180,Q181,通过你的描述来说，你这个可以加装一个透镜，加装透镜之后就会出现这样的现象，如果还是不行的话就需要更换大灯总成了
181,Q182,大修发动机需要几千块钱。
182,Q183,你好，看一下变速箱上的大螺丝，看一下变速箱上的24的大螺丝，看一下变速箱上的24的大螺丝，和变速箱上的24的大螺丝
183,Q184,建议抛光处理
184,Q185,你好，大概二百左右，5万公里或两年更换一次。
185,Q186,不能隔热，防止玻璃渣。可以用浅色太阳膜。
186,Q187,尊敬的车主朋友您好，很荣幸能回答您的问题，根据您描述的故障现象做出如下解答：尊出如下降的话，尊定期检查
187,Q188,你好，米其林轮胎的话价格在八百左右。网上有很多翻新的轮胎，最好是到实体店去更换。
188,Q189,显示胎压系统出现故障，需要用解码器检测一下是否有故障代码。根据故障代码进行诊断维修。可能是胎压传感器故障或是线路故障。
189,Q190,你好 你这个一般都是车子下支臂那衬套  衬套  衬套  衬套都是没有问题的   你可以购买加装加装加装加装固比较好
190,Q191,这个是发动机皮带异响。由于天气较冷，皮带会发硬。所以需要检查发动机皮带上的位置。
191,Q192,皮带涨紧器运转时会发出响声，若皮带涨紧力度正常，需要检查皮带轮和凸轮轴皮带轮是否异常磨损，正时皮带和皮带轮
192,Q193,通过你的描述，需要加装大屏导航。
193,Q194,这种情况需要检查1，水箱以及所有水管是否有漏水现象，发动机外部的水泵是否存在泄漏。发动机外部的水泵是否存在泄漏。检查某个缸垫是否异常。
194,Q195,可以改的，但是可以选择雪莱特，质量和车辆大灯的效果还是非常不错的一样。
195,Q196,倒车镜需要四百元左右。
196,Q197,检查散热网，电子散热网
197,Q198,这种情况有可能是车身舒适模块有问题
198,Q199,道不至于自动熄火的话，没事的请放心使用。
199,Q200,车子机油问题，发动机大修，烧机油，一般在发动机大修，需要大修，然后大修。
200,Q201,你好，这个可以把喷水头抽出来，要不然自己把喷水头抽出来就好了，你可以把喷水头抽出来了
201,Q202,你好，根据你说的这个品牌没听过，建议使用知名度高点的牌子 美孚 壳牌 嘉实多  嘉实多等建议购买时间购买！
202,Q203,你好，根据你说的这种情况都会影响发动机故障灯，因为发动机上面的好多传感器都是来检测的！
203,Q204,你好很高兴为你服务 影响不大 下次去保养顺便取出来为好
204,Q205,你好很高兴为你服务  两百到五百不等 具体情况还是以当地为准 希望对你帮助有问题欢迎关注 
205,Q206,通过分析来看，这个是正常使用的话，这个就没问题，如果说空调枪没有安装好的话，那就要考虑是否是外界环境温度传感器本身故障了。
206,Q207,你好，建议清洗喷油嘴，机油压力，机油压力，清洗发动机积碳，然后试车测试！
207,Q208,这个应该是排水管。可以找找找找找找找找。
208,Q209,建议买双离合的好点，这样可以省油，省油，陡坡的起步都不会伤离合器片
209,Q210,根据你的描述，需要清洗一下喷油嘴积炭。
210,Q211,是灯座接触不良，需要用电脑诊断故障码才能判断是哪个灯座接触不良
211,Q212,分析:首先检查正时，再检查线路，再检查点火线圈。
212,Q213,检查左右声道调节，或者对照面音响面板设置。
213,Q214,这个情况应该是车子皮带松了导致的 这个需要去修理厂紧下皮带 
214,Q215,这个只要 经常上高速就不建议使用了 
215,Q216,轴承加工时200--300
216,Q217,检查节气门是否脏么，检查进气压力传感器是否损坏，检查发动机电脑是否损坏
217,Q218,防撞梁颜色不是一样的，大部分铁材质都是黑色的，有些铝合金材质是银色的
218,Q219,接近一天的时间，材料加上工时不会超过600元。
219,Q220,你好，根据你说的这种情况，是没有影响的，放心使用就可以的。
220,Q221,清理积碳
221,Q222,建议检查发动机内部是否受到损伤，检查发动机内部是否受到损伤。
222,Q223,这个需要更换一下怠速马达。检查一下气缸压力，检查一下火花塞。如果点火正常，就是发动机电脑的问题。
223,Q224,这是电动汽车或者油电混合的牌照
224,Q225,开空调抖动是正常的，如果比较严重就需要排查了
225,Q226,一般不漏水的，在每次保养时让修理人员检查一下，如果缺少添加一点即可。三年或六万公里更换一次防冻液即可。
226,Q227,发动机热了会打开，节温器限制节温器限制节温器限制节温器限制，发动机的小循环限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制节温器限制循环
227,Q228,清洗节气门和油路
228,Q229,这种情况需要用电脑读取一下故障码和数据流，重点检查风扇控制模块是否有问题，用电脑查一下具体的故障码。
229,Q230,通过分析，这是发电机发电量过大引起的，需要检查发电机打铁是否正常，检查发电机电量是否正常。
230,Q231,这个是正常的，换档的快慢，有关系的，有时候油压的高低，平坦路行驶的快慢，转数上升就会升。
231,Q232,离合器分离不彻底，需要把离合器拉线调一下
232,Q233,这个要做底盘装甲，底盘装甲就是保护底盘，隔音不必要的话，就会有一定的损坏
233,Q234,你好，建议做下四轮定位和动平衡，如果还是抖动，就是轮胎问题了。
234,Q235,在质保内建议去更换新的没有问题
235,Q236,可以降低轮胎温度，高速行驶时胎温度不易爆胎
236,Q237,您好，可以夸接继电器，然后启动车辆，启动车辆，一般是由于电脑板控制线路自动断路造成的。
237,Q238,根据你的描述，这是发动机电脑板有问题，建议到4s店购买连续加注汽油添加剂。
238,Q239,根据你的描述，需要更换油底壳。这个螺丝变形比较大，还有就是需要更换油底壳。
239,Q240,更换液力挺柱
240,Q241,检查一下倒车灯的保险丝有没有烧坏，如果有就是线路有问题
241,Q242,这种情况建议首先检查节气门开度，看看是否发动机工作不良，最后检查进气系统有没有漏气，看一下点火线圈和喷油嘴是否存在堵塞，最后对进气系统进行积碳的清洗，最后清洗积碳，试一下发动机的燃油修正系数，看看是否有漏气的地方
242,Q243,40油耗大概是0.5673元左右
243,Q244,您好 建议您检查下起动机是否存在异常
244,Q245,这种情况需要检查一下刹车盘和刹车盘
245,Q246,建议更换节气门总成
246,Q247,前轮定位，调节前轮前面的横拉杆球头
247,Q248,你好！据你的描述是发动机动力不足，需要清洗节气门并匹配节气门，检查火花塞是否良好，燃油里不需要添加剂的，搞定是否有副作用。
248,Q249,需要专用工具拉出来
249,Q250,你好，能装进去就可以的，不会对线路造成影响的！
250,Q251,这种现象需要检查轮胎气压是否正常。轮胎气压是否正常。
251,Q252,你好，用力向玻璃的方向掰就可以，然后在喷点刮，不要干刮。
252,Q253,更换离合压盘，离合片，分离轴承。
253,Q254,车辆没有加油门的时候，这个故障现象是由于节气门脏污引起的，建议先清洗节气门，然后匹配一下，如果还是不行，需要更换刹车片
254,Q255,你好 首先检查后窗插头线路是否脱落   检查后窗插头是否脱落       检查线路是否脱落                    检查线路电压和继电器                               
255,Q256,可以改装的，但是要更换新车大概需要1.5万左右，这个具体需要到4S店检查
256,Q257,检查轴承的检查一下。
257,Q258,建议清洗一下节气门和喷油嘴，检查一下火花塞。
258,Q259,你好。这是车身稳定系统有故障，需要用诊断电脑读取故障码才可以更快的进行检查维修。
259,Q260,这款机油的效果还是不错的，正常机油是5000公里保养一次。
260,Q261,是真空助力声音，这是正常的，放心使用
261,Q262,这种情况有可能是发动机的问题，建议您到维修人员测试一下发动机的积炭，以及喷油嘴的雾化情况。
262,Q263,这个情况建议把变速箱分离轴承更换了。
263,Q264,该车的冷却液属于正常，不会有影响。
264,Q265,检查刹车分泵工作是否正常，刹车油压力，进气管路有没有漏气的地方
265,Q266,这个需要对精确确认是否安装到位
266,Q267,这个是油泵继电器坏了
267,Q268,你好，根据描述情况分析建议检查一下火花塞和点火线圈，很高兴为你解答！
268,Q269,对于这种情况来说，建议您先添加汽油添加剂，再观察一下，如果还是这样，那么就是发动机内部出现故障，这个可能是敲缸引起的响声。
269,Q270,你好，根据描述情况分析，说明了空调不足的原因和排除空调不热的原因，很高兴为你解答！
270,Q271,你好，这个齿圈需要专用工具，在正时工具和点火线圈位置
271,Q272,你好，根据描述情况分析，这个需要拆开检查，很高兴为你解答！
272,Q273,新款新款的机油，缸内直喷，火花塞，空调滤芯，空调滤芯的话，就需要更换，没有问题的，就需要更换，没有问题清洁，就可以了
273,Q274,你好，根据描述情况分析说明了排气管的压力和排气管的压力，很高兴为你解答！
274,Q275,最好上张照片，更换为你解决问题
275,Q276,建议做个四轮动平衡即可。
276,Q277,你好！据你的描述重点检查一下节气门和油门踏板是否存在问题，如果都正常的话，就是节气门脏了，重点检查一下节气门的线路。
277,Q278,发动机进气歧管，发动机进气歧管。
278,Q279,您这种情况只要空调开关不打开，空调制冷是不工作的冷风，空调制冷是不工作的，出冷风是不工作的，出冷风是不工作的，出冷风是不工作的，出冷风是不工作
279,Q280,轮胎动平衡问题
280,Q281,第一个图片，灯亮说明空调启动，第二个图片是后面的风机工作
281,Q282,换拉手就可以了，修复拉手就可以
282,Q283,您好 首先检查减震器是否存在漏油的情况
283,Q284,对变速箱没啥影响，主要是让车在N停稳才行。
284,Q285,可以更换的。没有问题。
285,Q286,你好，这种情况，可以到4s店去工作人员，他们会给你答一些，他们会给你答案。
286,Q287,5w-40机油比较好，可以使用5w-30的机油！
287,Q288,离合器分离轴承安装比较特殊。在分离轴承内侧，分离轴承内侧，分离轴承内侧装好。5，分离轴承内侧，分离轴承相反的润滑脂后同分离轴承在变速器上装好2，安装好200左右。3，发动机上装时的分离轴承和压盘。        
288,Q289,你好，根据描述情况分析这个需要全车线路，工作量大概需要200左右，很高兴为你解答，
289,Q290,雨刷臂弹性不够，建议更换雨刷臂
290,Q291,发动机故障，建议直接清洗下，做个匹配，检查下有没有漏气的，检查下发动机机油没有，粘稠度大的话，这样可以一般都是加的机油品质不好导致的
291,Q292,这个主要检查一下皮带轮，皮带轮。
292,Q293,防侧滑标识。雨天行车安全。
293,Q294,压力传感器故障，需要检查进气压力传感器，线路，插头是否有问题，如果线路没有问题，就更换压力传感器
294,Q295,检查涡轮增压器是否有故障码
295,Q296,通过分析来看，这个是行车电脑本身故障，需要检查一下线路是否有问题。电脑板是否有问题。
296,Q297,你好，根据你的描述 1.这个应该是灯泡坏了导致的 2.这个情况是不能维修的。需要检查一下灯光
297,Q298,通过现象分析，可能是发电机皮带和助力泵皮带连接的位置，发电机皮带松动或水泵自然打死的情况，建议重新调节下
298,Q299,你好，你可以把曲轴通风废气阀更换了，这个问题是没有什么办法的
299,Q300,胎压报警灯，建议检查轮胎气压是否正常，检查刹车片厚度，做下四轮保养就可以了！
300,Q301,您好   您这种情况的话需要检查鼓风机的电阻和线路   必要时检查线路和电阻 
301,Q302,建议大修或者更换防冻液
302,Q303,换雨刮片就好
303,Q304,更换节温器后防冻液后要注意水温不能正常转动，一般可能是空气没有排出的问题，需要用缸垫更换
304,Q305,这个是挡位电磁阀，车子的电磁阀就不起作用的，这个是按钮，可以应急挂挡的，需要应急挂挡的
305,Q306,你好，这是前速问题，建议做个四轮定位。
306,Q307,需要更换鸡脚，修理厂120左右
307,Q308,这是一个启动后，启动后常亮，有故障灯，需要用电脑读取故障代码才可以确定故障灯，如果有问题可以先读取故障代码才可以确定故障和故障代码分析问题。
308,Q309,84代表发动机动力下降，需要检测发动机模块有无故障码，比如P0300发动机缺火之类的故障码，根据故障码检测问题。 根据我的经验可能是1.点火线圈有问题，表面有无裂纹。2.火花塞是否击穿，3.节气门的积碳是否过多。
309,Q310,你好，根据描述情况分析，这个车型是正常的，很高兴为你解答！
310,Q311,你好！据你的描述，我建议你去4S店检查一下，看看是不是有维修记录，或者有维修记录导致的。
311,Q312,你好，这种情况应该是链条拉长导致的，建议到修理厂找维修人员帮你听一下。
312,Q313,你好，这是车子变速器内部的电器故障，需要用专用电脑做匹配的。
313,Q314,如果油浮子没有问题。就是仪表问题了。
314,Q315,你好，根据你的描述，建议六万公里清洗一次碳，然后再清洗三元催化器。
315,Q316,你好，根据描述情况分析机油不能加多了发动机机油就不能加多了，很高兴为你解答
316,Q317,更换防盗模块
317,Q318,方向盘右边按键里面调到
318,Q319,自动手动手动挡大修发动机一般7万左右
319,Q320,胎压灯亮，正常是跑一段路程，胎压灯亮，就是自动消除，这个情况是正常的，没有问题
320,Q321,你好 你这个就是正常的 你可以去4s店做一下检查 如果是这样的话就只能去维修了 
321,Q322,检查节气门开度，喷油嘴，进气压力，进气压力！
322,Q323,检查一下火花塞和点火线圈
323,Q324,你好，根据描述情况分析建议清洗下节气门积碳，很高兴为你解答！
324,Q325,你好！这个问题，建议更换明显明显有变形的配件，然后做四轮定位检测。如果门这些都是没有办法的，放心使用就可以了。
